condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount
actualWalkTwo,,,144,0,0,0,0

actualWalkTwo,,,145,0,0,0,0

actualWalkTwo,,,146,0,0,0,0

actualWalkTwo,,,147,0,0,0,0

actualWalkTwo,,,148,0,0,0,0

actualWalkTwo,,,149,0,0,0,0

actualWalkTwo,,,150,0,0,0,0

actualWalkTwo,,,151,0,0,0,0

actualWalkTwo,,,152,0,0,0,0

actualWalkTwo,,,153,0,0,0,0

actualWalkTwo,,,154,0,0,0,0

actualWalkTwo,,,155,0,0,0,0

actualWalkTwo,,,156,0,0,0,0

actualWalkTwo,,,157,0,0,0,0

actualWalkTwo,,,158,0,0,0,0

actualWalkTwo,,,159,0,0,0,0

actualWalkTwo,,,160,0,0,0,0

actualWalkTwo,,,161,0,0,0,0

actualWalkTwo,,,162,0,0,0,0

actualWalkTwo,,,163,0,0,0,0

actualWalkTwo,,,164,0,0,0,0

actualWalkTwo,,,165,0,0,0,0

actualWalkTwo,,,166,0,0,0,0

actualWalkTwo,,,167,0,0,0,0

actualWalkTwo,,,168,0,0,0,0

actualWalkTwo,,,169,0,0,0,0

actualWalkTwo,,,170,0,0,0,0

actualWalkTwo,,,171,0,0,0,0

actualWalkTwo,,,172,0,0,0,0

actualWalkTwo,,,173,0,0,0,0

actualWalkTwo,,,174,0,0,0,0

actualWalkTwo,,,175,0,0,0,0

actualWalkTwo,,,176,0,0,0,0

actualWalkTwo,,,177,0,0,0,0

actualWalkTwo,,,178,0,0,0,0

actualWalkTwo,,,179,0,0,0,0

actualWalkTwo,,,180,0,0,0,0

actualWalkTwo,,,181,0,0,0,0

actualWalkTwo,,,182,0,0,0,0

actualWalkTwo,,,183,0,0,0,0

actualWalkTwo,,,184,0,0,0,0

actualWalkTwo,,,185,0,0,0,0

actualWalkTwo,,,186,0,0,0,0

actualWalkTwo,,,187,0,0,0,0

actualWalkTwo,,,188,0,0,0,0

actualWalkTwo,,,189,0,0,0,0

actualWalkTwo,,,190,0,0,0,0

actualWalkTwo,,,191,0,0,0,0

actualWalkTwo,,,192,0,0,0,0

actualWalkTwo,,,193,0,0,0,0

actualWalkTwo,,,194,0,0,0,0

actualWalkTwo,,,195,0,0,0,0

actualWalkTwo,,,196,0,0,0,0

actualWalkTwo,,,197,0,0,0,0

actualWalkTwo,,,198,0,0,0,0

actualWalkTwo,,,199,0,0,0,0
